Date,Time,Time2,Open,High,Low,Close,Volume,Close Time,Quote Asset Volume,Number of Trades,TB Base Volume,TB Quote Volume,Ignore
10/18/2020,8:30:00 AM,PM,11426.91,11442.63,11426.91,11439.77,276.621734,00:00.0,3163555.651,5498,159.95773,1829200.548,0
10/18/2020,9:00:00 AM,PM,11439.77,11455,11437.53,11453.96,258.481548,30:00.0,2958647.19,5101,109.491098,1253207.799,0
10/18/2020,9:30:00 AM,PM,11453.96,11464.84,11443.57,11454.35,339.655671,00:00.0,3890730.386,6132,187.701461,2150172.455,0
10/18/2020,10:00:00 AM,PM,11454.35,11465,11448.13,11455.4,256.294815,30:00.0,2936245.292,5443,90.801238,1040379.752,0
10/18/2020,10:30:00 AM,PM,11455.4,11476.63,11446.02,11460.47,330.572696,00:00.0,3789102.381,6488,174.846857,2004219.417,0
10/18/2020,11:00:00 AM,PM,11460.47,11490,11452.15,11466.63,459.483575,30:00.0,5271195.316,7223,259.237362,2974545.269,0
10/18/2020,11:30:00 AM,PM,11466.63,11505,11462.74,11503.14,1465.655536,00:00.0,16843543.26,11338,1100.500243,12648618.66,0
10/19/2020,12:00:00 PM,AM,11503.14,11535,11465.99,11473.24,1378.011225,30:00.0,15848705.05,19593,765.018117,8800832.547,0
10/19/2020,12:30:00 PM,AM,11473.24,11475.49,11445.03,11469.34,618.544329,00:00.0,7090433.908,10772,257.731334,2954210.123,0
10/19/2020,1:00:00 AM,AM,11469.06,11477.54,11460.44,11463.63,495.207923,30:00.0,5679727.401,7107,235.676892,2703094.942,0
10/19/2020,1:30:00 AM,AM,11463.63,11468.54,11459.57,11461.54,368.296848,00:00.0,4222088.867,5636,141.60599,1623339.537,0
10/19/2020,2:00:00 AM,AM,11462.1,11474.14,11450,11451.93,403.111113,30:00.0,4621039.079,6259,159.672326,1830410.24,0
10/19/2020,2:30:00 AM,AM,11451.94,11460.8,11435.03,11455.45,589.16184,00:00.0,6743687.506,8308,251.831264,2882729.435,0
10/19/2020,3:00:00 AM,AM,11455.45,11460.8,11425,11426.71,559.275449,30:00.0,6399176.307,7969,197.930027,2264241.158,0
